City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
sitka,24,US,03/26/19,61,37.17,-99.65,60.01,10.0
zhangye,0,CN,03/26/19,56,38.94,100.46,26.95,7.11
ushuaia,75,AR,03/26/19,76,-54.81,-68.31,51.8,3.36
port alfred,36,ZA,03/26/19,93,-33.59,26.89,65.61,9.35
albany,1,US,03/26/19,24,42.65,-73.75,36.0,12.75
butaritari,20,KI,03/26/19,100,3.07,172.79,84.24,17.29
verkhoyansk,0,RU,03/26/19,54,67.55,133.39,-5.86,2.75
upernavik,48,GL,03/26/19,100,72.79,-56.15,4.14,4.21
davenda,48,RU,03/26/19,52,53.56,119.32,11.61,2.75
sao joao da barra,12,BR,03/26/19,100,-21.64,-41.05,80.46,17.52
hilo,1,US,03/26/19,54,19.71,-155.08,78.8,9.17
shimoda,40,JP,03/26/19,55,34.7,138.93,60.8,11.41
kapaa,90,US,03/26/19,73,22.08,-159.32,80.6,10.29
lakhdenpokhya,0,RU,03/26/19,61,61.52,30.2,23.0,10.69
lebu,20,ET,03/26/19,62,8.96,38.73,59.0,2.24
hermanus,88,ZA,03/26/19,80,-34.42,19.24,64.99,11.01
rikitea,20,PF,03/26/19,97,-23.12,-134.97,80.01,16.06
sao miguel do araguaia,92,BR,03/26/19,95,-13.28,-50.16,72.99,4.99
tchaourou,20,BJ,03/26/19,76,8.89,2.6,76.36,3.09
melbu,92,NO,03/26/19,94,68.5,14.83,33.01,15.01
villa maria,75,CO,03/26/19,82,4.5,-74.09,57.2,5.82
provideniya,75,RU,03/26/19,86,64.42,-173.23,33.8,35.79
punta arenas,20,CL,03/26/19,71,-53.16,-70.91,51.8,19.46
alofi,90,NU,03/26/19,70,-19.06,-169.92,84.2,14.99
vanimo,64,PG,03/26/19,100,-2.67,141.3,81.36,9.69
alba,0,IT,03/26/19,39,44.69,8.03,46.99,6.93
castro,0,CL,03/26/19,87,-42.48,-73.76,53.6,4.7
saskylakh,76,RU,03/26/19,76,71.97,114.09,14.8,5.1
souillac,0,FR,03/26/19,65,45.6,-0.6,44.6,11.41
roald,92,NO,03/26/19,87,62.58,6.12,42.8,13.87
meulaboh,88,ID,03/26/19,100,4.14,96.13,79.6,2.75
dubbo,0,AU,03/26/19,46,-32.25,148.6,73.4,20.8
mount gambier,90,AU,03/26/19,82,-37.83,140.78,57.2,4.7
bluff,48,AU,03/26/19,57,-23.58,149.07,83.83,9.24
tasiilaq,24,GL,03/26/19,57,65.61,-37.64,23.0,14.99
xuddur,12,SO,03/26/19,76,4.12,43.89,76.36,10.02
norman wells,20,CA,03/26/19,45,65.28,-126.83,42.8,3.36
vaini,40,IN,03/26/19,94,15.34,74.49,73.4,1.19
busselton,12,AU,03/26/19,48,-33.64,115.35,70.0,14.5
northam,0,GB,03/26/19,93,51.04,-4.21,43.0,3.36
margate,0,AU,03/26/19,36,-43.03,147.26,68.0,10.29
new norfolk,0,AU,03/26/19,36,-42.78,147.06,68.0,10.29
san ramon,48,NI,03/26/19,67,12.92,-85.84,70.0,3.0
east london,68,ZA,03/26/19,100,-33.02,27.91,68.58,5.44
labuhan,44,ID,03/26/19,85,-2.54,115.51,78.66,2.64
torbay,90,CA,03/26/19,67,47.66,-52.73,25.0,8.05
okakarara,88,NA,03/26/19,88,-20.59,17.46,60.39,7.67
newport,0,GB,03/26/19,80,51.59,-3.0,42.8,4.7
kruisfontein,12,ZA,03/26/19,85,-34.0,24.73,58.9,8.23
chuy,92,UY,03/26/19,98,-33.69,-53.46,63.76,13.04
hobart,0,AU,03/26/19,36,-42.88,147.33,68.0,10.29
jardim,0,BR,03/26/19,57,-21.48,-56.15,78.7,9.46
college,90,US,03/26/19,70,64.86,-147.8,48.0,5.99
dunedin,92,NZ,03/26/19,86,-45.87,170.5,55.0,17.0
bambous virieux,40,MU,03/26/19,88,-20.34,57.76,78.8,1.12
longyearbyen,75,NO,03/26/19,73,78.22,15.63,21.2,16.11
ajdabiya,0,LY,03/26/19,77,30.75,20.22,45.13,2.86
barrow,0,AR,03/26/19,73,-38.31,-60.23,52.02,8.46
tura,0,IN,03/26/19,91,25.52,90.21,59.22,2.53
aklavik,75,CA,03/26/19,64,68.22,-135.01,37.4,4.7
carnarvon,44,ZA,03/26/19,47,-30.97,22.13,55.71,8.46
khatanga,76,RU,03/26/19,90,71.98,102.47,24.66,10.69
yangjiang,92,CN,03/26/19,70,21.85,111.96,73.99,7.67
esperance,40,TT,03/26/19,78,10.24,-61.45,79.0,5.82
cidreira,88,BR,03/26/19,82,-30.17,-50.22,67.45,6.55
niquero,64,CU,03/26/19,100,20.04,-77.58,74.38,8.79
dikson,88,RU,03/26/19,94,73.51,80.55,29.2,28.48
north bend,1,US,03/26/19,66,43.41,-124.22,55.99,5.82
mar del plata,0,AR,03/26/19,57,-46.43,-67.52,61.29,7.78
lagoa,40,PT,03/26/19,67,37.14,-8.45,60.8,21.92
aquiraz,40,BR,03/26/19,83,-3.9,-38.39,81.0,2.24
atuona,8,PF,03/26/19,100,-9.8,-139.03,82.44,13.15
sohag,0,EG,03/26/19,28,26.55,31.7,59.0,8.05
swan hill,0,AU,03/26/19,87,-35.34,143.56,61.56,5.21
minot,1,US,03/26/19,75,48.23,-101.3,44.6,4.7
tiksi,0,RU,03/26/19,68,71.64,128.87,-9.82,2.98
iqaluit,40,CA,03/26/19,64,63.75,-68.52,-4.01,14.99
dukat,56,RS,03/26/19,75,42.44,22.31,33.01,1.74
hithadhoo,68,MV,03/26/19,100,-0.6,73.08,82.48,5.66
alice springs,32,AU,03/26/19,33,-23.7,133.88,71.6,13.87
sampit,32,ID,03/26/19,95,-2.54,112.95,77.8,3.65
yar-sale,80,RU,03/26/19,91,66.83,70.83,32.08,21.43
geraldton,75,CA,03/26/19,42,49.72,-86.95,30.2,8.05
chiredzi,92,ZW,03/26/19,96,-21.05,31.67,71.5,3.65
pacifica,90,US,03/26/19,71,37.61,-122.49,64.99,4.76
ilulissat,80,GL,03/26/19,72,69.22,-51.1,10.4,10.29
moyale,8,ET,03/26/19,89,3.52,39.05,66.91,2.75
goure,0,NE,03/26/19,17,13.98,10.27,76.05,10.58
waipawa,12,NZ,03/26/19,51,-39.94,176.59,70.0,8.99
yuryevets,76,RU,03/26/19,94,57.32,43.11,31.9,7.78
mahebourg,40,MU,03/26/19,88,-20.41,57.7,78.8,1.12
lavrentiya,88,RU,03/26/19,95,65.58,-170.99,33.12,31.27
tuktoyaktuk,75,CA,03/26/19,92,69.44,-133.03,21.2,14.99
kaifeng,0,CN,03/26/19,48,34.8,114.35,62.6,2.24
tateyama,20,JP,03/26/19,35,36.66,137.31,62.01,11.41
pareora,68,NZ,03/26/19,50,-44.49,171.21,72.0,5.99
cape town,0,ZA,03/26/19,82,-33.93,18.42,64.99,2.24
yarada,20,IN,03/26/19,88,17.65,83.27,78.8,3.36
noumea,75,NC,03/26/19,62,-22.28,166.46,86.0,10.29
georgiyevka,92,RU,03/26/19,96,52.25,40.45,31.9,5.1
kodiak,1,US,03/26/19,34,39.95,-94.76,55.99,10.29
puerto leguizamo,0,CO,03/26/19,88,-0.19,-74.78,79.51,2.19
dondo,40,MZ,03/26/19,88,-19.62,34.74,80.6,6.93
saint-philippe,1,CA,03/26/19,38,45.36,-73.48,28.99,8.01
mataura,24,NZ,03/26/19,61,-46.19,168.86,57.99,15.99
saint-georges,12,CA,03/26/19,61,46.12,-70.67,21.99,1.99
tarn taran,40,IN,03/26/19,82,31.46,74.93,59.0,2.19
sompeta,0,IN,03/26/19,89,18.93,84.6,66.1,3.65
cabo san lucas,90,MX,03/26/19,29,22.89,-109.91,78.01,5.21
georgetown,20,GY,03/26/19,78,6.8,-58.16,80.6,9.17
katsuura,40,JP,03/26/19,54,33.93,134.5,59.0,2.24
anklam,0,DE,03/26/19,81,53.86,13.69,34.0,5.88
ostrovnoy,0,RU,03/26/19,84,68.05,39.51,17.82,13.49
puerto baquerizo moreno,40,EC,03/26/19,83,-0.9,-89.6,82.4,3.36
puerto ayora,75,EC,03/26/19,78,-0.74,-90.35,80.6,11.41
carbonear,90,CA,03/26/19,67,47.73,-53.24,25.0,8.05
bandarbeyla,88,SO,03/26/19,100,9.49,50.81,79.47,3.2
chunhuhub,76,MX,03/26/19,43,19.59,-88.59,85.9,4.65
chicama,20,PE,03/26/19,83,-7.84,-79.15,69.8,9.17
whitecourt,90,CA,03/26/19,93,54.14,-115.68,41.0,3.36
bagdarin,0,RU,03/26/19,46,54.44,113.59,7.29,6.11
los llanos de aridane,80,ES,03/26/19,77,28.66,-17.92,62.6,11.41
esso,44,RU,03/26/19,80,55.93,158.7,13.36,3.2
beringovskiy,76,RU,03/26/19,95,63.05,179.32,31.77,28.92
ribeira grande,32,PT,03/26/19,96,38.52,-28.7,61.47,5.44
nikolskoye,0,RU,03/26/19,79,59.7,30.79,25.0,11.18
pimentel,68,BR,03/26/19,95,-3.7,-45.5,75.91,0.96
jamestown,0,AU,03/26/19,83,-33.21,138.6,59.76,7.23
yellowknife,90,CA,03/26/19,74,62.45,-114.38,28.4,13.87
zhob,44,PK,03/26/19,82,31.34,69.45,46.62,2.98
san patricio,44,PY,03/26/19,51,-26.98,-56.83,69.48,6.22
srednekolymsk,80,RU,03/26/19,59,67.46,153.71,4.59,12.15
saint george,75,GR,03/26/19,81,39.45,22.34,54.0,5.82
ballina,80,IE,03/26/19,87,54.11,-9.15,48.99,3.0
arboletes,0,CO,03/26/19,78,8.85,-76.43,80.6,10.29
ambilobe,80,MG,03/26/19,94,-13.19,49.05,73.53,2.75
kirakira,8,SB,03/26/19,100,-10.46,161.92,83.79,6.89
talikota,80,IN,03/26/19,75,16.48,76.32,72.18,1.74
ayan,8,TR,03/26/19,69,40.67,33.6,23.13,2.75
vestmannaeyjar,92,IS,03/26/19,85,63.44,-20.27,41.4,20.31
manavalakurichi,20,IN,03/26/19,83,8.13,77.3,80.6,4.7
sinnamary,88,GF,03/26/19,92,5.38,-52.96,80.55,11.48
narsaq,44,GL,03/26/19,57,60.91,-46.05,21.2,12.75
qaanaaq,32,GL,03/26/19,83,77.48,-69.36,-14.41,13.49
luwuk,64,ID,03/26/19,93,-0.95,122.79,81.09,1.97
severo-kurilsk,48,RU,03/26/19,97,50.68,156.12,29.56,5.55
lake havasu city,1,US,03/26/19,13,34.47,-114.34,84.2,5.82
thompson,90,CA,03/26/19,60,55.74,-97.86,41.0,8.05
san quintin,0,PH,03/26/19,60,17.54,120.52,73.48,3.87
chokurdakh,44,RU,03/26/19,86,70.62,147.9,-2.98,15.61
marawi,0,PH,03/26/19,77,8.0,124.29,79.0,4.0
nalut,48,LY,03/26/19,61,31.86,10.98,55.3,6.67
erenhot,20,CN,03/26/19,55,43.65,111.97,26.05,11.81
tabas,92,IR,03/26/19,93,33.6,56.92,59.0,2.24
tumbes,90,PE,03/26/19,33,-3.57,-80.46,89.6,3.36
kimberley,0,ZA,03/26/19,67,-28.74,24.76,62.6,3.36
constitucion,75,MX,03/26/19,11,23.99,-104.67,78.8,2.24
camocim,92,BR,03/26/19,90,-2.9,-40.84,78.3,4.09
sault sainte marie,1,CA,03/26/19,50,46.49,-84.36,33.8,5.82
klaksvik,64,FO,03/26/19,75,62.23,-6.59,44.6,5.82
qaqortoq,24,GL,03/26/19,57,60.72,-46.03,21.2,12.75
hatillo,90,PR,03/26/19,78,18.49,-66.83,79.0,7.45
catuday,0,PH,03/26/19,85,16.29,119.81,80.1,12.03
grand gaube,40,MU,03/26/19,88,-20.01,57.66,78.8,1.12
basoko,32,CD,03/26/19,91,1.23,23.61,75.15,2.64
cartagena,0,ES,03/26/19,54,37.63,-1.0,57.2,16.11
ahuimanu,75,US,03/26/19,63,21.44,-157.84,82.4,8.05
pisco,0,PE,03/26/19,83,-13.71,-76.2,69.8,14.99
hervey bay,40,AU,03/26/19,65,-25.3,152.85,86.0,11.41
ancud,0,CL,03/26/19,81,-41.87,-73.83,53.6,6.93
la palma,8,CO,03/26/19,94,5.36,-74.39,70.11,1.86
wajir,32,KE,03/26/19,64,1.75,40.07,81.58,9.69
mugur-aksy,0,RU,03/26/19,66,50.38,90.44,-14.54,1.97
tuatapere,56,NZ,03/26/19,61,-46.13,167.69,57.99,15.99
airai,48,TL,03/26/19,89,-8.93,125.41,74.65,1.97
honningsvag,36,NO,03/26/19,100,70.98,25.97,27.0,10.13
kaitangata,12,NZ,03/26/19,69,-46.28,169.85,61.0,1.99
arraial do cabo,40,BR,03/26/19,88,-22.97,-42.02,73.4,3.36
abu dhabi,20,AE,03/26/19,78,24.47,54.37,77.0,10.29
bredasdorp,76,ZA,03/26/19,77,-34.53,20.04,66.2,10.29
namibe,20,AO,03/26/19,100,-15.19,12.15,76.59,8.34
lompoc,75,US,03/26/19,87,34.64,-120.46,64.99,8.05
muzhi,20,RU,03/26/19,90,65.4,64.7,29.25,13.38
ugoofaaru,0,MV,03/26/19,100,5.67,73.0,83.83,6.11
kununurra,0,AU,03/26/19,56,-15.77,128.74,93.2,14.99
nemuro,75,JP,03/26/19,55,43.32,145.57,35.6,13.87
henties bay,92,NA,03/26/19,94,-22.12,14.28,61.0,5.01
faya,0,SA,03/26/19,82,18.39,42.45,60.8,10.29
haverfordwest,0,GB,03/26/19,100,51.8,-4.97,43.0,3.36
bartlesville,1,US,03/26/19,58,36.75,-95.98,62.6,4.7
comodoro rivadavia,0,AR,03/26/19,71,-45.87,-67.48,57.2,12.26
roma,75,IT,03/26/19,57,41.89,12.48,55.99,5.82
tiarei,40,PF,03/26/19,66,-17.53,-149.33,87.8,10.29
bilibino,68,RU,03/26/19,80,68.06,166.44,20.11,3.65
cherskiy,68,RU,03/26/19,76,68.75,161.3,10.75,15.39
hami,0,CN,03/26/19,84,42.84,93.51,37.71,3.31
bastogne,12,BE,03/26/19,92,50.0,5.72,41.0,4.7
pringsewu,64,ID,03/26/19,95,-5.36,104.98,73.35,2.53
pevek,76,RU,03/26/19,80,69.7,170.27,21.1,3.42
paamiut,48,GL,03/26/19,100,61.99,-49.67,22.5,6.89
san carlos de bariloche,0,AR,03/26/19,31,-41.13,-71.31,48.2,6.93
nanortalik,76,GL,03/26/19,100,60.14,-45.24,24.66,24.23
ouesso,48,CG,03/26/19,93,1.61,16.05,75.01,2.3
luderitz,24,NA,03/26/19,89,-26.65,15.16,59.67,8.68
avarua,36,CK,03/26/19,79,-21.21,-159.78,84.2,4.7
svobodnyy,92,RU,03/26/19,91,53.85,40.53,29.65,4.32
belmonte,0,PT,03/26/19,35,40.36,-7.35,51.01,8.01
port hardy,40,CA,03/26/19,76,50.7,-127.42,50.0,12.75
vila franca do campo,20,PT,03/26/19,67,37.72,-25.43,57.2,16.11
san cristobal,75,EC,03/26/19,76,-0.39,-78.55,62.6,8.05
luena,12,AO,03/26/19,94,-11.78,19.91,63.72,2.64
isangel,40,VU,03/26/19,62,-19.55,169.27,89.6,11.41
fushun,0,CN,03/26/19,25,41.89,123.95,41.0,17.9
te anau,24,NZ,03/26/19,73,-45.41,167.72,51.16,11.7
lieto,0,FI,03/26/19,85,60.5,22.46,27.0,2.24
waddan,0,LY,03/26/19,63,29.16,16.14,48.28,2.64
saint-pierre,0,FR,03/26/19,80,48.95,4.24,41.0,5.82
brisenas,0,MX,03/26/19,16,20.27,-102.57,82.93,4.76
xining,48,CN,03/26/19,76,36.62,101.77,19.21,2.53
shirokiy,80,RU,03/26/19,92,53.87,39.17,27.0,3.31
uruzgan,92,AF,03/26/19,93,32.93,66.63,38.16,2.3
dingle,48,PH,03/26/19,86,11.0,122.67,77.8,9.69
kainantu,68,PG,03/26/19,91,-6.29,145.87,69.93,1.07
deep river,1,CA,03/26/19,51,46.1,-77.49,32.0,3.36
portland,75,US,03/26/19,44,45.52,-122.67,60.01,8.05
terney,0,RU,03/26/19,84,45.05,136.61,31.0,16.4
haines junction,12,CA,03/26/19,47,60.75,-137.51,38.7,2.64
salalah,40,OM,03/26/19,83,17.01,54.1,77.0,2.24
santo tomas,32,PH,03/26/19,82,17.4,121.77,74.11,3.42
acapulco,5,MX,03/26/19,78,16.86,-99.88,80.6,6.93
trairi,24,BR,03/26/19,100,-3.28,-39.27,83.56,6.67
svirstroy,92,RU,03/26/19,84,60.8,33.72,28.53,11.25
port macquarie,90,AU,03/26/19,53,-31.43,152.91,77.0,12.75
megion,75,RU,03/26/19,95,61.04,76.11,32.0,8.95
seguela,64,CI,03/26/19,82,7.96,-6.67,77.04,8.01
aden,92,YE,03/26/19,97,12.79,45.03,79.74,8.9
caravelas,0,BR,03/26/19,100,-17.73,-39.27,82.3,10.69
bonavista,56,CA,03/26/19,76,48.65,-53.11,25.0,3.0
kirksville,1,US,03/26/19,48,40.19,-92.58,51.8,6.93
pangody,64,RU,03/26/19,93,65.85,74.49,31.59,20.09
turukhansk,0,RU,03/26/19,82,65.8,87.96,22.45,18.19
havre,1,US,03/26/19,32,48.55,-109.68,55.4,17.22
ambon,0,FR,03/26/19,86,47.55,-2.56,46.0,9.17
rio gallegos,0,AR,03/26/19,76,-51.62,-69.22,51.8,3.36
yuzhnyy,92,RU,03/26/19,93,53.54,39.45,30.6,4.65
chibuto,20,MZ,03/26/19,67,-24.69,33.53,76.05,12.82
phonhong,40,LA,03/26/19,83,18.5,102.42,80.6,2.24
shibetsu,75,JP,03/26/19,80,44.15,142.46,32.0,16.11
arecibo,90,PR,03/26/19,78,18.47,-66.72,79.0,7.45
leningradskiy,76,RU,03/26/19,89,69.38,178.42,30.69,22.55
tautira,40,PF,03/26/19,66,-17.73,-149.15,87.8,10.29
upington,0,ZA,03/26/19,32,-28.46,21.24,69.8,2.24
